,bulk,SUB,ROI
318,56,4,vvs
319,57,4,vvs
320,58,4,vvs
321,59,4,vvs
322,60,4,vvs
323,61,4,vvs
324,62,4,vvs
325,63,4,vvs
326,64,4,vvs
327,65,4,vvs
328,66,4,vvs
329,67,4,vvs
330,68,4,vvs
331,69,4,vvs
332,70,4,vvs
333,71,4,vvs
334,72,4,vvs
335,73,4,vvs
336,74,4,vvs
337,75,4,vvs
338,76,4,vvs
339,77,4,vvs
340,78,4,vvs
341,79,4,vvs
342,0,5,vvs
343,1,5,vvs
344,2,5,vvs
345,3,5,vvs
346,4,5,vvs
347,5,5,vvs
348,6,5,vvs
349,7,5,vvs
350,8,5,vvs
351,9,5,vvs
352,10,5,vvs
353,11,5,vvs
354,12,5,vvs
355,13,5,vvs
356,14,5,vvs
357,15,5,vvs
358,16,5,vvs
359,17,5,vvs
360,18,5,vvs
361,19,5,vvs
362,20,5,vvs
363,21,5,vvs
364,22,5,vvs
365,23,5,vvs
366,24,5,vvs
367,25,5,vvs
368,26,5,vvs
369,27,5,vvs
370,28,5,vvs
371,29,5,vvs
372,30,5,vvs
373,31,5,vvs
374,32,5,vvs
375,33,5,vvs
376,34,5,vvs
377,35,5,vvs
378,36,5,vvs
379,37,5,vvs
380,38,5,vvs
381,39,5,vvs
382,40,5,vvs
383,41,5,vvs
384,42,5,vvs
385,43,5,vvs
386,44,5,vvs
387,45,5,vvs
388,46,5,vvs
389,47,5,vvs
390,48,5,vvs
391,49,5,vvs
392,50,5,vvs
393,51,5,vvs
394,52,5,vvs
395,53,5,vvs
396,54,5,vvs
397,55,5,vvs
398,56,5,vvs
399,57,5,vvs
400,58,5,vvs
401,59,5,vvs
402,60,5,vvs
403,61,5,vvs
404,62,5,vvs
405,63,5,vvs
406,64,5,vvs
407,65,5,vvs
408,66,5,vvs
409,67,5,vvs
410,68,5,vvs
411,69,5,vvs
412,70,5,vvs
413,71,5,vvs
414,72,5,vvs
415,73,5,vvs
416,74,5,vvs
