,Bulk,SUB,ROI
324,2,4,A1
325,3,4,A1
326,4,4,A1
327,5,4,A1
328,6,4,A1
329,7,4,A1
330,8,4,A1
331,9,4,A1
332,10,4,A1
333,11,4,A1
334,12,4,A1
335,13,4,A1
336,14,4,A1
337,15,4,A1
338,16,4,A1
339,17,4,A1
340,18,4,A1
341,19,4,A1
342,0,5,vvs
343,1,5,vvs
344,2,5,vvs
345,3,5,vvs
346,4,5,vvs
347,5,5,vvs
348,6,5,vvs
349,7,5,vvs
350,8,5,vvs
351,9,5,vvs
352,10,5,vvs
353,11,5,vvs
354,12,5,vvs
355,13,5,vvs
356,14,5,vvs
357,15,5,vvs
358,16,5,vvs
359,17,5,vvs
360,18,5,vvs
361,19,5,vvs
362,20,5,vvs
363,21,5,vvs
364,22,5,vvs
365,23,5,vvs
366,24,5,vvs
367,25,5,vvs
368,26,5,vvs
369,27,5,vvs
370,28,5,vvs
371,29,5,vvs
372,30,5,vvs
373,31,5,vvs
374,32,5,vvs
375,33,5,vvs
376,34,5,vvs
377,35,5,vvs
378,36,5,vvs
379,37,5,vvs
380,38,5,vvs
381,39,5,vvs
382,40,5,vvs
383,41,5,vvs
384,42,5,vvs
385,43,5,vvs
386,44,5,vvs
387,45,5,vvs
388,46,5,vvs
389,47,5,vvs
390,48,5,vvs
391,49,5,vvs
392,50,5,vvs
393,51,5,vvs
394,52,5,vvs
395,0,5,A1
396,1,5,A1
397,2,5,A1
398,3,5,A1
399,4,5,A1
400,5,5,A1
401,6,5,A1
402,7,5,A1
403,8,5,A1
404,9,5,A1
405,10,5,A1
406,11,5,A1
407,12,5,A1
408,13,5,A1
409,14,5,A1
410,15,5,A1
411,0,6,vvs
412,1,6,vvs
413,2,6,vvs
414,3,6,vvs
415,4,6,vvs
416,5,6,vvs
417,6,6,vvs
418,7,6,vvs
419,8,6,vvs
420,9,6,vvs
421,10,6,vvs
422,11,6,vvs
423,12,6,vvs
424,13,6,vvs
425,14,6,vvs
426,15,6,vvs
427,16,6,vvs
428,17,6,vvs
429,18,6,vvs
430,19,6,vvs
431,20,6,vvs
432,21,6,vvs
433,22,6,vvs
434,23,6,vvs
435,24,6,vvs
436,25,6,vvs
437,26,6,vvs
438,27,6,vvs
439,28,6,vvs
440,29,6,vvs
441,30,6,vvs
442,31,6,vvs
443,32,6,vvs
444,33,6,vvs
445,34,6,vvs
446,35,6,vvs
447,36,6,vvs
448,37,6,vvs
449,38,6,vvs
450,39,6,vvs
451,40,6,vvs
452,41,6,vvs
453,42,6,vvs
454,43,6,vvs
455,44,6,vvs
456,45,6,vvs
457,46,6,vvs
458,47,6,vvs
459,48,6,vvs
460,49,6,vvs
461,50,6,vvs
462,51,6,vvs
463,52,6,vvs
464,53,6,vvs
465,54,6,vvs
466,55,6,vvs
467,56,6,vvs
468,57,6,vvs
469,58,6,vvs
470,59,6,vvs
471,60,6,vvs
472,61,6,vvs
473,62,6,vvs
474,63,6,vvs
475,64,6,vvs
476,65,6,vvs
477,66,6,vvs
478,67,6,vvs
479,68,6,vvs
480,69,6,vvs
481,70,6,vvs
482,71,6,vvs
483,72,6,vvs
484,73,6,vvs
485,74,6,vvs
486,75,6,vvs
487,76,6,vvs
488,77,6,vvs
489,78,6,vvs
490,79,6,vvs
491,80,6,vvs
492,81,6,vvs
493,82,6,vvs
494,0,6,A1
495,1,6,A1
496,2,6,A1
497,3,6,A1
498,4,6,A1
499,5,6,A1
500,6,6,A1
501,7,6,A1
502,8,6,A1
503,9,6,A1
504,10,6,A1
505,11,6,A1
506,12,6,A1
507,13,6,A1
508,14,6,A1
509,15,6,A1
510,16,6,A1
511,17,6,A1
512,18,6,A1
513,19,6,A1
514,20,6,A1
515,21,6,A1
516,0,7,vvs
517,1,7,vvs
518,2,7,vvs
519,3,7,vvs
520,4,7,vvs
521,5,7,vvs
522,6,7,vvs
523,7,7,vvs
524,8,7,vvs
525,9,7,vvs
526,10,7,vvs
527,11,7,vvs
528,12,7,vvs
529,13,7,vvs
530,14,7,vvs
531,15,7,vvs
532,16,7,vvs
533,17,7,vvs
534,18,7,vvs
535,19,7,vvs
536,20,7,vvs
537,21,7,vvs
538,22,7,vvs
539,23,7,vvs
540,24,7,vvs
541,25,7,vvs
542,26,7,vvs
543,27,7,vvs
544,28,7,vvs
545,29,7,vvs
546,30,7,vvs
547,31,7,vvs
548,32,7,vvs
549,33,7,vvs
550,34,7,vvs
551,35,7,vvs
552,36,7,vvs
553,37,7,vvs
554,38,7,vvs
555,39,7,vvs
556,40,7,vvs
557,41,7,vvs
558,42,7,vvs
559,43,7,vvs
560,44,7,vvs
561,45,7,vvs
562,46,7,vvs
563,47,7,vvs
564,48,7,vvs
565,49,7,vvs
566,50,7,vvs
567,51,7,vvs
568,52,7,vvs
569,53,7,vvs
570,54,7,vvs
571,0,7,A1
572,1,7,A1
573,2,7,A1
574,3,7,A1
575,4,7,A1
576,5,7,A1
577,6,7,A1
578,7,7,A1
579,8,7,A1
580,9,7,A1
581,10,7,A1
582,11,7,A1
583,12,7,A1
584,13,7,A1
585,14,7,A1
586,15,7,A1
587,16,7,A1
588,17,7,A1
589,18,7,A1
590,0,8,vvs
591,1,8,vvs
592,2,8,vvs
593,3,8,vvs
594,4,8,vvs
595,5,8,vvs
596,6,8,vvs
597,7,8,vvs
598,8,8,vvs
599,9,8,vvs
600,10,8,vvs
601,11,8,vvs
602,12,8,vvs
603,13,8,vvs
604,14,8,vvs
605,15,8,vvs
606,16,8,vvs
607,17,8,vvs
608,18,8,vvs
609,19,8,vvs
610,20,8,vvs
611,21,8,vvs
612,22,8,vvs
613,23,8,vvs
614,24,8,vvs
615,25,8,vvs
616,26,8,vvs
617,27,8,vvs
618,28,8,vvs
619,29,8,vvs
620,30,8,vvs
621,31,8,vvs
622,32,8,vvs
623,33,8,vvs
624,34,8,vvs
625,35,8,vvs
626,36,8,vvs
627,37,8,vvs
628,38,8,vvs
629,39,8,vvs
630,40,8,vvs
631,41,8,vvs
632,42,8,vvs
633,43,8,vvs
634,44,8,vvs
635,45,8,vvs
636,46,8,vvs
637,47,8,vvs
638,48,8,vvs
639,49,8,vvs
640,50,8,vvs
641,51,8,vvs
642,52,8,vvs
643,53,8,vvs
644,54,8,vvs
645,55,8,vvs
646,56,8,vvs
647,57,8,vvs
648,58,8,vvs
649,59,8,vvs
650,60,8,vvs
651,61,8,vvs
652,62,8,vvs
653,63,8,vvs
654,64,8,vvs
655,65,8,vvs
