,bulk,SUB
531,17,7
532,18,7
533,19,7
534,20,7
535,21,7
536,22,7
537,23,7
538,24,7
539,25,7
540,26,7
541,27,7
542,28,7
543,29,7
544,30,7
545,31,7
546,32,7
547,33,7
548,34,7
549,35,7
550,36,7
551,37,7
552,38,7
553,39,7
554,40,7
555,41,7
556,42,7
557,43,7
558,44,7
559,45,7
560,46,7
561,47,7
562,48,7
563,49,7
564,50,7
565,51,7
566,52,7
567,53,7
568,54,7
569,55,7
570,56,7
571,57,7
572,58,7
573,59,7
574,60,7
575,61,7
576,62,7
577,63,7
578,64,7
579,65,7
580,66,7
581,67,7
582,68,7
583,69,7
584,70,7
585,71,7
586,72,7
587,73,7
588,74,7
589,75,7
590,76,7
591,77,7
592,78,7
593,79,7
594,80,7
595,81,7
596,82,7
597,83,7
598,84,7
599,85,7
600,86,7
601,87,7
602,88,7
603,89,7
604,0,8
605,1,8
606,2,8
607,3,8
608,4,8
609,5,8
610,6,8
611,7,8
612,8,8
613,9,8
614,10,8
615,11,8
616,12,8
617,13,8
618,14,8
619,15,8
620,16,8
621,17,8
622,18,8
623,19,8
624,20,8
625,21,8
626,22,8
627,23,8
628,24,8
629,25,8
630,26,8
631,27,8
632,28,8
633,29,8
634,30,8
635,31,8
636,32,8
637,33,8
638,34,8
639,35,8
640,36,8
641,37,8
642,38,8
643,39,8
644,40,8
645,41,8
646,42,8
647,43,8
648,44,8
649,45,8
650,46,8
651,47,8
652,48,8
653,49,8
654,50,8
655,51,8
656,52,8
657,53,8
658,54,8
659,55,8
660,56,8
661,57,8
662,58,8
663,59,8
664,60,8
665,61,8
666,62,8
667,63,8
668,64,8
669,65,8
670,66,8
671,67,8
672,68,8
673,69,8
674,70,8
675,71,8
676,72,8
677,73,8
678,74,8
679,75,8
680,76,8
681,77,8
682,78,8
683,79,8
